name,filename
project-1.0.0-beta4.json,JSON_schema_for_ASP.NET_project.json_files_1.json
project-1.0.0-beta5.json,JSON_schema_for_ASP.NET_project.json_files_2.json
project-1.0.0-beta6.json,JSON_schema_for_ASP.NET_project.json_files_3.json
project-1.0.0-beta8.json,JSON_schema_for_DNX_project.json_files.json
project-1.0.0-rc1.json,JSON_schema_for_DNX_project.json_files_1.json
project-1.0.0-rc2.json,JSON_schema_for_.NET_Core_project.json_files_1.json
proxies.json,JSON_schema_for_Azure_Functions_Proxies_proxies.json_files.json
pyrseas-0.8.json,JSON_schema_for_Pyrseas_yaml_files.json
*.resjson,JSON_schema_for_Windows_resource_files_(.resjson).json
JSON Resume,Resume_Schema.json
Renovate,JSON_schema_for_Renovate_config_files_(https__renovatebot.com_).json
sarif-1.0.0.json,Static_Analysis_Results_Format_(SARIF)_Version_1.0.0_JSON_Schema.json
sarif-2.0.0.json,Static_Analysis_Results_Format_(SARIF)_Version_2.0.0_JSON_Schema.json
2.0.0-csd.2.beta.2018-10-10,None
Schema Catalog,JSON_schema_for_SchemaStore.org_catalog_files.json
schema.org - Action,JSON_schema_for_schema.org___Action.json
schema.org - ContactPoint,JSON_schema_for_schema.org___ContactPoint.json
schema.org - Place,JSON_schema_for_schema.org___Place.json
schema.org - Thing,JSON_schema_for_schema.org___Thing.json
settings.job,JSON_schema_for_Azure_Webjob_settings.job_files.json
skyuxconfig.json,None
Solidarity,Solidarity.json
Source Maps v3,None
.sprite files,Schema_for_image_sprite_generation_files.json
StyleCop Analyzers Configuration,StyleCop_Analyzers_Configuration.json
.stylelintrc,JSON_schema_for_the_Stylelint_configuration_files.json
Swagger API 2.0,A_JSON_Schema_for_Swagger_2.0_API..json
template.json,JSON_schema_.NET_template_files.json
templatsources.json,JSON_schema_for_SideWaffle_template_sources.json
tmLanguage,tmLanguage.json
.travis.yml,JSON_schema_for_Travis_CI_configuration_files.json
tsconfig.json,JSON_schema_for_the_TypeScript_compiler's_configuration_file.json
tsd.json,JSON_schema_for_DefinitelyTyped_TypeScript_definitions_manager_(TSD).json
tsdrc.json,JSON_schema_for_.tsdrc_files.json
tslint.json,JSON_schema_for_the_TSLint_configuration_files..json
typewiz.json,Typewiz_configuration_schema.json
typings.json,JSON_schema_for_Typings_TypeScript_definitions_manager.json
typingsrc.json,JSON_schema_for_.typingsrc_files.json
up.json,JSON_schema_for_Apex_Up_configuration_files.json
ui5-manifest,JSON_schema_for_UI5_manifest.json_project_declaration.json
vega.json,Vega_3.0_Visualization_Specification_Language.json
vega-lite.json,schemastore_4.json
version.json,Nerdbank.GitVersioning_version.json_schema.json
vsls.json,JSON_schema_for_Visual_Studio_Live_Share_config_files.json
vs-2017.3.host.json,JSON_schema_for_Visual_Studio_template_host_files.json
vs-nesting.json,JSON_schema_for_Visual_Studio's_file_nesting_feature.json
.vsext,JSON_schema_for_Visual_Studio_extension_pack_manifests.json
VSIX CLI publishing,schemastore_5.json
WebExtensions,JSON_schema_for_WebExtensions_manifest_files.json
Web Manifest,JSON_schema_for_Web_Application_manifest_files.json
webjobs-list.json,JSON_schema_for_Azure_Webjobs_collection_files.json
webjobpublishsettings.json,JSON_schema_for_Azure_Webjobs_configuration_files.json
JSON-stat 2.0,JSON-stat_2.0_Schema.json
KSP-CKAN 1.25,CKAN_JSON_Schema.json
JSON Schema Draft 4,Core_schema_meta-schema.json
xunit.runner.json,xUnit.net_Runner_Configuration.json
.cryproj engine-5.2,CryProj_schema.json
.cryproj engine-5.3,CryProj_schema_1.json
.cryproj engine-5.4,CryProj_schema_2.json
.cryproj engine-5.5,CryProj_schema_3.json
.cryproj engine-dev,CryProj_schema_4.json
.cryproj (generic),CryProj_schema_5.json
Source Maps v3,sourcemap-v3.json
